also	O
,	O
i	O
have	O
recently	O
discovered	O
advil	B-OBJ
liquigels	O
work	O
much	O
better	O
and	O
faster	B-PREDFULL
for	I-PREDFULL
a	I-PREDFULL
headache	I-PREDFULL
than	O
regular	O
ibuprofen	B-OBJ
.	O

i	O
have	O
always	O
heard	O
that	O
motrin	B-OBJ
is	O
better	O
than	O
advil	B-OBJ
for	O
fevers	O
,	O
and	O
that	O
advil	B-OBJ
works	O
better	B-PREDFULL
for	I-PREDFULL
body	I-PREDFULL
aches	I-PREDFULL
and	I-PREDFULL
pains	I-PREDFULL
.	O

when	O
i	O
was	O
a	O
figure	O
skater	O
i	O
injuried	O
my	O
ankles	O
all	O
the	O
time	O
and	O
the	O
quickest	O
way	O
back	O
on	O
your	O
feet	O
is	O
regular	O
doses	O
of	O
motrin	B-OBJ
(	O
faster	O
acting	O
than	O
advil	B-OBJ
and	O
you	O
can	O
take	O
it	O
more	O
often	O
)	O
ice	O
and	O
keeping	O
it	O
above	O
your	O
hip	O
.	O

i	O
used	O
chalk	B-OBJ
pastels	O
,	O
which	O
are	O
much	O
easier	B-PREDFULL
to	I-PREDFULL
control	I-PREDFULL
than	O
paint	B-OBJ
brushes	O
.	O

white	O
chalk	B-OBJ
is	O
nicer	O
than	O
charcoal	O
,	O
condo	O
said	O
,	O
because	O
you	O
can	O
go	O
right	O
over	O
it	O
with	O
oil	O
paint	B-OBJ
.	O

the	O
larger	O
particle	O
size	O
of	O
our	O
chalk	B-OBJ
(	O
when	O
compared	O
to	O
precipitated	O
chalk	B-OBJ
)	O
keeps	O
oil	O
absorption	O
low	O
,	O
which	O
is	O
ideal	O
when	O
adding	O
it	O
to	O
oil	O
paint	B-OBJ
and	O
mediums	O
.	O

if	O
it	O
was	O
successful	O
,	O
it	O
would	O
be	O
a	O
bit	O
cheaper	B-PREDFULL
than	O
my	O
first	O
recipe	O
for	O
sidewalk	O
chalk	B-OBJ
,	O
and	O
it	O
would	O
be	O
simpler	O
to	O
get	O
more	O
variety	O
of	O
colors	O
with	O
food	O
coloring	O
instead	O
of	O
powdered	O
tempera	O
paint	B-OBJ
.	O

while	O
chalk	B-OBJ
isn	O
'	O
t	O
very	O
expensive	O
,	O
you	O
can	O
make	O
even	O
cheaper	B-PREDFULL
chalk	B-OBJ
by	O
mixing	O
1	O
cup	O
of	O
plaster	O
of	O
paris	O
(	O
bought	O
in	O
the	O
hardware	O
store	O
;	O
the	O
same	O
exact	O
thing	O
sold	O
in	O
craft	O
supply	O
stores	O
is	O
much	O
more	O
expensive	O
)	O
with	O
¾	O
cup	O
of	O
water	O
and	O
enough	O
tempera	O
paint	B-OBJ
to	O
get	O
it	O
to	O
be	O
the	O
color	O
you	O
want	O
.	O

although	O
i	O
must	O
admit	O
that	O
over	O
here	O
finding	O
chalk	B-OBJ
board	O
vinyl	O
to	O
cut	O
in	O
labels	O
is	O
much	O
easier	O
than	O
finding	O
chalk	B-OBJ
board	O
spray	O
paint	B-OBJ
go	O
figure	O
.	O

paint	B-OBJ
wine	O
glass	O
stems	O
with	O
chalkboard	O
paint	B-OBJ
and	O
write	O
the	O
guest	O
'	O
s	O
name	O
and	O
table	O
number	O
on	O
each	O
one	O
(	O
use	O
this	O
-	O
it	O
'	O
s	O
easier	O
than	O
chalk	B-OBJ
).	O

it	O
'	O
s	O
also	O
a	O
bit	O
easier	O
to	O
carry	O
a	O
piece	O
of	O
chalk	B-OBJ
in	O
your	O
pocket	O
than	O
20	O
or	O
30	O
stencils	O
and	O
a	O
can	O
of	O
spray	O
paint	B-OBJ
.	O

we	O
painted	O
big	O
fat	O
stripes	O
on	O
a	O
bathroom	O
wall	O
and	O
found	O
it	O
easier	O
to	O
use	O
chalk	B-OBJ
line	O
rather	O
than	O
measure	O
constantly	O
down	O
an	O
entire	O
wall	O
to	O
make	O
sure	O
the	O
lines	O
were	O
even	O
.	O

in	O
a	O
way	O
,	O
halloween	B-OBJ
is	O
even	O
better	O
than	O
thanksgiving	B-OBJ
(	O
my	O
absolute	O
favorite	O
holiday	O
)	O
because	O
thanksgiving	B-OBJ
divides	O
us	O
into	O
separate	O
households	O
,	O
while	O
halloween	B-OBJ
unites	O
us	O
into	O
bands	O
of	O
candy	O
bandits	O
.	O

the	O
week	O
after	O
halloween	B-OBJ
will	O
probably	O
be	O
lighter	B-PREDFULL
than	O
the	O
week	O
before	O
and	O
the	O
week	O
after	O
thanksgiving	B-OBJ
is	O
probably	O
even	O
lighter	B-PREDFULL
.	O

i	O
think	O
halloween	B-OBJ
is	O
actually	O
safer	B-PREDFULL
than	O
christmas	O
and	O
thanksgiving	B-OBJ
.	O

your	O
halloween	B-OBJ
shipments	O
have	O
a	O
greater	O
than	O
20percent	O
chance	O
of	O
being	O
returned	O
in	O
time	O
for	O
thanksgiving	B-OBJ
.	O

well	O
,	O
in	O
a	O
few	O
shorts	O
weeks	O
it	O
will	O
be	O
halloween	B-OBJ
(	O
armed	O
with	O
a	O
candy	O
ration	O
far	O
greater	O
than	O
the	O
amount	O
handed	O
out	O
,	O
then	O
thanksgiving	B-OBJ
(	O
feast	O
!	O
)	O

4	O
.	O
your	O
halloween	B-OBJ
shipments	O
have	O
a	O
greater	O
than	O
20percent	O
chance	O
of	O
being	O
returned	O
in	O
time	O
for	O
thanksgiving	B-OBJ
.	O

thanksgiving	B-OBJ
would	O
transplant	O
far	O
better	O
to	O
australia	O
than	O
halloween	B-OBJ
.	O

it	O
would	O
be	O
many	O
times	O
better	O
to	O
have	O
thanksgiving	B-OBJ
celebrated	O
here	O
than	O
halloween	B-OBJ
.	O

confirmed	O
that	O
these	O
pumpkins	O
would	O
be	O
better	O
suited	O
for	O
halloween	B-OBJ
than	O
thanksgiving	B-OBJ
.	O

in	O
all	O
,	O
the	O
kind	O
of	O
game	O
better	O
suited	O
to	O
be	O
played	O
around	O
halloween	B-OBJ
than	O
thanksgiving	B-OBJ
.	O

7	O
.	O
while	O
australia	O
has	O
adopted	O
halloween	B-OBJ
as	O
a	O
new	O
(	O
ish	O
)	O
tradition	O
from	O
the	O
us	O
,	O
we	O
'	O
re	O
yet	O
to	O
get	O
into	O
thanksgiving	B-OBJ
.	O

(	O
fwiw	O
,	O
living	O
on	O
the	O
southwest	O
tip	O
of	O
the	O
florida	O
peninsula	O
,	O
i	O
may	O
start	O
breathing	O
easier	O
around	O
halloween	B-OBJ
,	O
but	O
i	O
don	O
'	O
t	O
get	O
"	O
at	O
ease	O
"	O
until	O
thanksgiving	B-OBJ
.)	O

this	O
year	O
,	O
the	O
cousin	O
with	O
the	O
newest	O
baby	O
decided	O
to	O
bring	O
her	O
to	O
meet	O
the	O
family	O
on	O
halloween	B-OBJ
,	O
rather	O
than	O
thanksgiving	B-OBJ
or	O
christmas	O
,	O
because	O
travel	O
is	O
easier	O
and	O
distractions	O
fewer	O
.	O

my	O
family	O
does	O
a	O
lot	O
of	O
saltwater	O
fishing	B-OBJ
and	O
the	O
only	O
thing	O
better	O
than	O
grilling	O
fish	O
that	O
was	O
swimming	B-OBJ
around	O
just	O
hours	O
prior	O
is	O
throwing	O
that	O
fresh	O
grilled	O
fish	O
on	O
a	O
tortilla	O
with	O
some	O
toppings	O
!	O

my	O
girlfriend	O
katie	O
also	O
comes	O
from	O
a	O
family	O
steeped	O
in	O
fishing	B-OBJ
tradition	O
,	O
albeit	O
using	O
flies	O
on	O
the	O
rivers	O
of	O
idaho	O
--	O
she	O
was	O
a	O
natural	O
when	O
we	O
got	O
to	O
the	O
beach	O
and	O
immediately	O
began	O
to	O
catch	O
everything	O
that	O
was	O
swimming	B-OBJ
.	O

my	O
girlfriend	O
katie	O
also	O
comes	O
from	O
a	O
family	O
steeped	O
in	O
fishing	B-OBJ
tradition	O
,	O
albeit	O
using	O
flies	O
on	O
the	O
rivers	O
of	O
idaho	O
-	O
she	O
was	O
a	O
natural	O
when	O
we	O
got	O
to	O
the	O
beach	O
and	O
immediately	O
began	O
to	O
catch	O
everything	O
that	O
was	O
swimming	B-OBJ
.	O

on	O
low	O
tide	O
you	O
have	O
your	O
own	O
beach	O
to	O
fish	O
from	O
or	O
for	O
the	O
kids	O
to	O
build	O
sand	O
castles	O
(	O
deck	O
chairs	O
,	O
fishing	B-OBJ
rods	O
,	O
tackle	O
box	O
,	O
esky	O
and	O
sand	O
toys	O
provided	O
)	O
-	O
we	O
do	O
not	O
recommend	O
the	O
river	O
for	O
swimming	B-OBJ
due	O
to	O
boating	O
activity	O
.	O

nonetheless	O
,	O
it	O
is	O
primarily	O
a	O
recreation	O
-	O
not	O
